Day,Houston Astros: (United States),Cleveland Guardians: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Kansas City Royals: (United States)
4/6/2018,2,4,5,2,1
4/7/2018,6,3,2,2,1
4/8/2018,7,3,3,2,2
4/9/2018,3,2,1,2,1
4/10/2018,4,2,1,2,2
4/11/2018,5,2,2,2,2
4/12/2018,2,2,2,2,1
4/13/2018,2,2,1,2,1
4/14/2018,6,4,2,2,2
4/15/2018,3,2,1,2,2
4/16/2018,5,1,1,1,1
4/17/2018,3,1,1,1,1
4/18/2018,3,2,1,2,2
4/19/2018,4,3,1,2,1
4/20/2018,2,1,1,2,1
4/21/2018,4,3,2,3,2
4/22/2018,5,2,3,2,1
4/23/2018,2,2,1,1,1
4/24/2018,3,2,1,1,1
4/25/2018,5,2,2,2,1
4/26/2018,2,2,1,2,1
4/27/2018,2,2,1,1,1
4/28/2018,3,3,1,2,2
4/29/2018,5,3,1,2,2
4/30/2018,2,1,1,1,1
5/1/2018,3,2,1,1,1
5/2/2018,4,3,1,2,2
5/3/2018,6,3,1,2,1
5/4/2018,2,3,1,1,1
5/5/2018,4,3,1,2,2
5/6/2018,4,3,2,2,2
5/7/2018,2,1,1,1,1
5/8/2018,2,1,1,2,1
5/9/2018,3,2,2,2,2
5/10/2018,2,1,1,1,1
5/11/2018,2,1,1,1,1
5/12/2018,4,3,2,3,2
5/13/2018,4,3,2,3,1
5/14/2018,2,1,1,1,1
5/15/2018,2,2,1,2,1
5/16/2018,2,2,1,2,2
5/17/2018,3,1,1,1,1
5/18/2018,2,1,1,2,1
5/19/2018,5,2,1,2,2
5/20/2018,3,2,1,3,3
5/21/2018,3,2,1,1,1
5/22/2018,2,1,1,1,1
5/23/2018,4,2,1,2,2
5/24/2018,2,3,1,1,1
5/25/2018,3,2,1,1,1
5/26/2018,4,3,2,3,2
5/27/2018,7,5,3,2,2
5/28/2018,4,3,2,2,1
5/29/2018,2,2,2,1,1
5/30/2018,3,2,2,2,2
