Day,New York Yankees: (United States),Kansas City Royals: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States)
3/19/2019,20,3,12,12,2
3/20/2019,21,4,8,13,2
3/21/2019,17,4,5,15,2
3/22/2019,17,3,4,12,2
3/23/2019,22,5,5,14,2
3/24/2019,23,5,6,14,3
3/25/2019,19,5,8,17,2
3/26/2019,19,5,8,19,3
3/27/2019,23,6,8,21,3
3/28/2019,100,24,13,73,9
3/29/2019,46,17,8,46,6
3/30/2019,64,16,12,83,7
3/31/2019,79,15,12,81,7
4/1/2019,44,7,6,35,5
4/2/2019,46,6,8,48,6
4/3/2019,51,17,8,49,6
4/4/2019,48,10,7,45,4
4/5/2019,34,7,14,35,3
4/6/2019,42,10,18,37,4
4/7/2019,76,9,14,51,6
4/8/2019,34,6,8,49,3
4/9/2019,42,9,10,37,3
4/10/2019,46,10,13,30,4
4/11/2019,40,16,10,39,4
4/12/2019,31,7,9,20,3
4/13/2019,65,13,10,51,6
4/14/2019,47,15,9,55,7
4/15/2019,22,6,6,22,4
4/16/2019,39,9,8,43,5
4/17/2019,52,12,7,49,5
4/18/2019,51,9,8,23,4
4/19/2019,47,10,11,32,3
4/20/2019,73,12,11,47,5
4/21/2019,71,12,14,50,6
4/22/2019,31,6,6,18,2
4/23/2019,49,7,13,21,3
4/24/2019,48,8,10,29,3
4/25/2019,51,5,10,38,2
4/26/2019,43,5,10,20,3
4/27/2019,62,10,8,41,4
4/28/2019,57,13,9,57,4
4/29/2019,34,5,5,20,2
4/30/2019,29,7,5,31,2
5/1/2019,49,9,8,33,3
5/2/2019,27,9,8,32,3
5/3/2019,28,6,8,19,3
5/4/2019,61,9,7,42,5
5/5/2019,54,9,9,61,6
5/6/2019,37,4,5,21,3
5/7/2019,38,6,5,30,4
5/8/2019,54,8,6,35,4
5/9/2019,37,6,7,38,4
5/10/2019,39,6,6,33,2
5/11/2019,58,12,10,41,4
5/12/2019,68,12,10,55,4
5/13/2019,40,5,5,20,2
5/14/2019,43,6,8,20,3
5/15/2019,46,9,9,33,3
5/16/2019,41,10,5,33,3
5/17/2019,35,5,6,20,3
5/18/2019,82,8,11,38,5
5/19/2019,56,10,13,31,4
5/20/2019,32,4,6,17,2
5/21/2019,49,5,8,19,2
5/22/2019,45,8,8,28,3
5/23/2019,63,8,10,24,4
5/24/2019,34,6,7,19,3
5/25/2019,65,13,10,38,5
5/26/2019,89,17,14,57,3
5/27/2019,55,10,8,29,4
5/28/2019,39,7,5,42,3
5/29/2019,56,6,8,39,4
5/30/2019,43,6,6,45,4
