Day,New York Yankees: (United States),Cleveland Guardians: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States)
3/7/2019,18,4,3,3,6
3/8/2019,17,4,3,3,5
3/9/2019,20,5,3,5,6
3/10/2019,21,5,4,4,6
3/11/2019,16,4,3,4,5
3/12/2019,19,4,3,4,5
3/13/2019,20,4,2,4,6
3/14/2019,18,4,3,4,5
3/15/2019,18,4,3,4,5
3/16/2019,20,4,4,5,6
3/17/2019,24,6,4,5,6
3/18/2019,18,5,4,5,6
3/19/2019,20,5,4,6,6
3/20/2019,21,5,4,5,8
3/21/2019,17,5,4,5,6
3/22/2019,17,4,3,5,6
3/23/2019,22,6,4,6,8
3/24/2019,23,7,6,7,9
3/25/2019,19,6,5,6,9
3/26/2019,19,7,5,6,12
3/27/2019,23,7,5,7,9
3/28/2019,100,20,15,21,32
3/29/2019,46,12,10,15,19
3/30/2019,64,15,14,18,23
3/31/2019,79,15,12,15,21
4/1/2019,44,26,7,11,12
4/2/2019,46,15,8,13,17
4/3/2019,51,15,11,15,18
4/4/2019,48,10,8,36,19
4/5/2019,34,16,24,14,17
4/6/2019,42,21,19,20,36
4/7/2019,76,20,19,20,42
4/8/2019,34,9,17,10,17
4/9/2019,42,13,12,15,22
4/10/2019,46,13,11,14,28
4/11/2019,40,12,5,15,24
4/12/2019,31,9,8,9,12
4/13/2019,65,16,16,18,32
4/14/2019,47,18,11,16,41
4/15/2019,22,8,6,9,18
4/16/2019,39,12,10,9,14
4/17/2019,52,13,10,13,26
4/18/2019,51,12,8,15,24
4/19/2019,47,10,13,9,16
4/20/2019,73,21,20,16,27
4/21/2019,71,28,23,16,42
4/22/2019,31,14,8,9,14
4/23/2019,49,10,11,13,22
4/24/2019,48,14,17,14,22
4/25/2019,51,8,6,11,21
4/26/2019,43,12,5,9,18
4/27/2019,62,20,10,16,31
4/28/2019,57,14,15,12,25
4/29/2019,34,12,6,6,20
4/30/2019,29,8,7,7,15
5/1/2019,49,11,7,9,17
5/2/2019,27,12,11,9,19
5/3/2019,28,9,7,7,12
5/4/2019,61,18,14,14,17
5/5/2019,54,16,15,13,28
5/6/2019,37,9,6,7,13
5/7/2019,38,10,7,7,19
5/8/2019,54,11,10,9,18
5/9/2019,37,17,14,13,20
5/10/2019,39,9,8,7,21
5/11/2019,58,18,13,15,27
5/12/2019,68,14,16,17,46
5/13/2019,40,9,6,9,15
5/14/2019,43,14,6,10,19
5/15/2019,46,9,10,10,20
5/16/2019,41,10,9,13,18
5/17/2019,35,17,6,8,15
5/18/2019,82,18,11,12,33
5/19/2019,56,18,9,13,51
5/20/2019,32,10,5,6,15
5/21/2019,49,12,5,6,23
5/22/2019,45,14,7,9,23
5/23/2019,63,10,11,11,23
5/24/2019,34,11,7,7,21
5/25/2019,65,22,15,14,34
5/26/2019,89,20,21,13,51
5/27/2019,55,14,16,10,31
5/28/2019,39,9,8,6,16
5/29/2019,56,15,11,8,25
5/30/2019,43,13,17,8,51
