Day,Houston Astros: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States),Milwaukee Brewers: (United States)
9/27/2019,5,1,4,<1,4
9/28/2019,7,1,9,<1,11
9/29/2019,9,2,7,<1,21
9/30/2019,3,1,4,<1,4
10/1/2019,3,1,3,<1,5
10/2/2019,3,<1,5,<1,18
10/3/2019,4,<1,8,<1,1
10/4/2019,19,<1,22,<1,1
10/5/2019,10,<1,26,<1,1
10/6/2019,23,<1,11,<1,1
10/7/2019,21,<1,25,<1,<1
10/8/2019,15,<1,18,<1,<1
10/9/2019,22,<1,13,<1,<1
10/10/2019,18,1,59,<1,<1
10/11/2019,37,<1,5,<1,<1
10/12/2019,15,1,3,<1,<1
10/13/2019,36,1,2,<1,<1
10/14/2019,47,<1,2,<1,<1
10/15/2019,40,<1,2,<1,<1
10/16/2019,31,1,2,<1,<1
10/17/2019,24,1,1,<1,<1
10/18/2019,68,<1,1,<1,<1
10/19/2019,63,<1,1,<1,<1
10/20/2019,100,<1,2,<1,<1
10/21/2019,12,<1,1,<1,<1
10/22/2019,18,<1,1,<1,<1
10/23/2019,59,<1,1,<1,<1
10/24/2019,59,<1,1,<1,<1
10/25/2019,18,<1,1,<1,<1
10/26/2019,70,<1,1,<1,<1
10/27/2019,74,<1,1,<1,<1
10/28/2019,57,<1,1,<1,<1
10/29/2019,22,<1,1,<1,<1
10/30/2019,81,<1,1,<1,<1
10/31/2019,92,1,2,<1,<1
